log_raised_by_quarter,tokenforsale_dummy,kyc_dummy,whitelist_dummy,presale_raised_dummy,ethereum,whitelist_dummy,ind_entertainment,ind_business_services,ind_blockchain,ind_other_software,ind_finance,presale_dummy,presale_raised_dummy,percent_forsale,percent_forsale_ifpresent,percent_forsale_dummy,listing_dummy
22.39378,1,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0
22.53391,1,0,1,0,0,1,0,0,0,0,0,1,0,,0,0,0
22.41159,1,1,0,0,1,0,1,0,0,0,0,1,0,0.4,0.4,1,0
22.41159,1,0,0,0,0,0,0,0,0,1,0,1,0,,0,0,0
18.86238,1,1,1,0,1,1,0,0,0,0,0,1,0,0.39,0.39,1,0
22.53391,1,0,0,0,1,0,0,0,0,0,0,0,0,0.1666667,0.1666667,1,0
21.53017,1,1,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,1,1,0,0.64,0.64,1,0
21.53017,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
18.86238,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8525,0.8525,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,0,1,0,0.4411765,0.4411765,1,0
22.06915,1,1,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,1,0
22.27552,1,0,0,0,1,0,0,0,0,0,0,1,0,0.53,0.53,1,0
20.89957,1,0,1,0,0,1,0,0,0,0,0,1,0,0.14,0.14,1,0
21.72063,1,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0
22.41159,1,0,0,0,1,0,0,0,0,0,1,1,0,0.4,0.4,1,0
20.89957,1,1,0,0,0,0,0,0,0,0,0,1,0,0.07,0.07,1,0
22.06915,1,0,0,0,1,0,0,0,0,0,0,0,0,0.65,0.65,1,0
18.86238,1,1,1,0,1,1,0,0,0,0,0,1,0,0.7,0.7,1,0
19.63956,1,0,0,0,1,0,0,0,0,0,0,1,0,,0,0,0
19.63956,1,1,0,0,1,0,0,0,0,0,0,1,0,,0,0,0
18.86238,1,1,1,0,1,1,0,0,0,0,0,1,0,0.4,0.4,1,0
18.86238,1,1,0,0,1,0,0,0,0,0,0,1,0,0.2,0.2,1,0
22.27552,1,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0.7,1,0
20.89957,1,1,0,0,1,0,0,0,1,0,0,0,0,0.4916667,0.4916667,1,0
22.41159,1,1,1,0,1,1,0,1,0,0,0,1,0,0.5,0.5,1,0
22.53391,1,1,0,0,1,0,0,0,1,0,0,1,0,0.7,0.7,1,0
20.89957,1,0,1,0,1,1,0,0,0,0,0,1,0,0.7,0.7,1,0
18.86238,1,1,1,0,1,1,0,0,0,0,0,1,0,0.5,0.5,1,0
22.06915,1,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0
19.63956,1,1,1,0,1,1,0,0,0,0,0,1,0,0.45,0.45,1,0
22.06915,1,1,1,0,0,1,0,1,0,0,0,0,0,,0,0,0
20.89957,1,1,0,0,1,0,0,0,0,0,0,0,0,0.45,0.45,1,0
22.41159,1,1,1,0,1,1,0,1,0,0,0,1,0,0.0845,0.0845,1,0
22.53391,1,1,1,0,1,1,0,0,0,0,0,0,0,0.1125,0.1125,1,0
22.41159,1,1,0,0,1,0,0,1,0,0,0,1,0,0.6,0.6,1,0
20.89957,1,0,1,0,0,1,0,0,0,0,0,1,0,0.4,0.4,1,0
22.41159,1,0,1,0,0,1,0,0,1,0,0,0,0,,0,0,0
22.27552,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0
20.89957,1,1,1,0,1,1,0,1,0,0,0,0,0,0.3,0.3,1,0
22.41159,1,1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1,0
22.53391,1,0,1,0,1,1,0,0,0,0,1,1,0,0.5,0.5,1,0
22.53391,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0
22.06915,1,1,0,0,0,0,0,0,0,0,1,1,0,,0,0,0
22.41159,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0
22.06915,1,1,1,0,1,1,0,0,0,1,0,0,0,0.39,0.39,1,0
20.89957,1,1,1,0,1,1,0,0,1,0,0,1,0,0.8,0.8,1,0
20.89957,1,0,1,0,1,1,1,0,0,0,0,1,0,0.75,0.75,1,0
22.27552,1,0,0,0,1,0,0,0,0,0,0,0,0,0.65,0.65,1,0
19.63956,1,1,1,0,1,1,1,0,0,0,0,1,0,0.4,0.4,1,0
19.63956,1,1,1,0,1,1,0,0,0,0,0,1,0,0.53,0.53,1,0
19.63956,1,0,1,0,1,1,0,0,0,0,0,1,0,,0,0,0
20.89957,1,1,0,0,1,0,1,0,0,0,0,1,0,0.6,0.6,1,0
21.53017,1,1,1,0,1,1,0,0,0,0,0,1,0,0.44,0.44,1,0
22.06915,1,1,1,0,1,1,0,1,0,0,0,1,0,0.65,0.65,1,0
22.41159,1,0,1,0,1,1,0,0,0,0,1,1,0,,0,0,0
21.53017,1,1,1,0,1,1,0,1,0,0,0,0,0,0.6,0.6,1,0
22.41159,1,1,1,0,1,1,0,0,0,0,0,0,0,0.5,0.5,1,0
19.63956,1,0,1,0,0,1,0,0,0,0,0,1,0,,0,0,0
22.06915,1,1,1,0,1,1,0,0,0,0,1,1,0,0.7,0.7,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,0,0,0,0.33,0.33,1,0
21.53017,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.45,1,0
22.53391,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0.6,1,0
22.41159,1,0,0,0,1,0,0,0,0,0,0,0,0,0.8,0.8,1,0
21.72063,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0
22.06915,1,1,1,0,1,1,0,0,0,0,1,1,0,0.37,0.37,1,0
22.06915,1,1,0,0,1,0,1,0,0,0,0,1,0,0.6,0.6,1,0
22.53391,1,0,1,0,1,1,0,0,0,0,0,0,0,0.7,0.7,1,0
22.41159,1,1,1,0,1,1,0,0,0,1,0,1,0,0.6,0.6,1,0
22.41159,1,1,0,0,1,0,0,0,0,0,1,1,0,0.5,0.5,1,0
22.41159,1,1,1,0,1,1,1,0,0,0,0,0,0,0.7,0.7,1,0
22.27552,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,0,0
22.06915,1,0,1,0,0,1,0,0,0,0,1,1,0,0.78,0.78,1,0
20.89957,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0
20.89957,1,1,1,0,1,1,0,0,0,0,0,1,0,0.479,0.479,1,0
21.72063,1,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,1,0
22.06915,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
22.41159,1,1,1,0,1,1,1,0,0,0,0,1,0,,0,0,0
22.41159,1,0,0,0,1,0,1,0,0,0,0,1,0,0.75,0.75,1,0
19.63956,1,1,1,0,1,1,0,0,0,0,0,0,0,0.62,0.62,1,0
